,book_id,chunk_id,book_title,genre,unique_speaker
318,4639_LibriVox_en,50h_30,bible wnt nt 06 romans,religion,2149
319,4022_LibriVox_en,50h_31,those extraordinary twins,fiction,107
320,856_LibriVox_en,50h_31,love among the chickens,fiction,251
321,2079_LibriVox_en,50h_31,varied types,"science, craft & essay",2162
322,2287_LibriVox_en,50h_31,women in love,fiction,2607
323,7723_LibriVox_en,50h_31,moon master,"science, craft & essay",4078
324,2082_LibriVox_en,50h_31,keepsake,poetry,908
325,5501_LibriVox_en,50h_31,little fishers and their nets,religion,3157
326,384_LibriVox_en,50h_32,give me liberty,"geography, nature & history",204
327,5895_LibriVox_en,50h_32,anne s house of dreams version 2,fiction,103
328,3198_LibriVox_en,50h_32,lord kitchener,"geography, nature & history",2162
329,5462_LibriVox_en,50h_32,hushed up a mystery of london,mystery,3488
330,5684_LibriVox_en,50h_32,biltmore oswald,fiction,6459
331,2131_LibriVox_en,50h_32,old mother west wind,"science, craft & essay",1066
332,5092_LibriVox_en,50h_32,story of the pony express,"science, craft & essay",2156
333,3968_LibriVox_en,50h_32,sheridan road mystery,mystery,688
334,2552_LibriVox_en,50h_32,high adventure a narrative of air fighting in france,"science, craft & essay",3020
335,1828_LibriVox_en,50h_32,white linen nurse,fiction,1851
336,3173_LibriVox_en,50h_32,two poe tales,fiction,83
337,7811_LibriVox_en,50h_32,worst journey in the world vol 2,"geography, nature & history",6248
338,8339_LibriVox_en,50h_32,willows version 2,juvenile books,5717
339,6319_LibriVox_en,50h_33,one of my sons,mystery,5778
340,5596_LibriVox_en,50h_33,history of farming in ontario,"science, craft & essay",205
341,1097_LibriVox_en,50h_33,story of mary maclane,"geography, nature & history",28
342,1840_LibriVox_en,50h_33,swoop,fiction,28
343,465_LibriVox_en,50h_33,constitution of the united states of america 1787,misc,89
344,4917_LibriVox_en,50h_33,literary lapses,juvenile books,3157
345,7176_LibriVox_en,50h_33,christmas every day and other stories told for children,juvenile books,6454
346,3549_LibriVox_en,50h_33,rasselas prince of abyssinia,fiction,3595
347,8191_LibriVox_en,50h_33,devil s garden,fiction,3488
348,482_LibriVox_en,50h_33,my mark twain,"geography, nature & history",26
349,6790_LibriVox_en,50h_33,slave is a slave,"science, craft & essay",5717
350,2422_LibriVox_en,50h_33,popular history of ireland book 05,"geography, nature & history",1401
351,6273_LibriVox_en,50h_34,cleek of scotland yard,mystery,2607
352,6841_LibriVox_en,50h_34,narrative of the life and adventures of henry bibb an american slave,political & philosophy,5985
353,4887_LibriVox_en,50h_34,in the closed room,fiction,3703
354,2502_LibriVox_en,50h_34,summa theologica 02 pars prima trinity and creation,religion,3009
355,4441_LibriVox_en,50h_34,trees of pride,mystery,4667
356,7008_LibriVox_en,50h_34,judas valley,"science, craft & essay",5717
357,6188_LibriVox_en,50h_34,journey in search of christmas,"geography, nature & history",6454
358,8176_LibriVox_en,50h_34,hill of dreams,fiction,251
359,8292_LibriVox_en,50h_34,poison romance and poison mysteries,"science, craft & essay",6454
360,7814_LibriVox_en,50h_34,and then the town took off,"science, craft & essay",3488
361,6335_LibriVox_en,50h_35,my discovery of england,juvenile books,3157
362,391_LibriVox_en,50h_35,gift of the magi,fiction,32
363,6490_LibriVox_en,50h_35,red men and white,fiction,6454
364,2208_LibriVox_en,50h_35,bible drv apocrypha deuterocanon 1 maccabees,religion,908
365,6711_LibriVox_en,50h_35,secret of the ninth planet,"science, craft & essay",4078
366,5129_LibriVox_en,50h_35,make mine homogenized,"science, craft & essay",3490
367,6549_LibriVox_en,50h_35,ruby and the caldron,mystery,5244
368,4032_LibriVox_en,50h_35,zeppelin s passenger,fiction,3488
369,4401_LibriVox_en,50h_35,other side of the door,fiction,1212
370,6452_LibriVox_en,50h_35,shrieking pit,mystery,6248
371,5867_LibriVox_en,50h_35,makers of canada champlain,"geography, nature & history",5968
372,5648_LibriVox_en,50h_35,starved rock a historical sketch,"geography, nature & history",4289
373,5674_LibriVox_en,50h_35,memoir on the life and character of the rev prince demetrius a de gallitzin,"science, craft & essay",6499
374,3102_LibriVox_en,50h_36,three men on the bummel,fiction,167
375,6954_LibriVox_en,50h_36,temple trouble,"science, craft & essay",5717
376,7548_LibriVox_en,50h_36,letters of jane austen,misc,1259
377,3232_LibriVox_en,50h_36,rain,fiction,3657
378,3139_LibriVox_en,50h_36,four girls at chautauqua,religion,3157
379,4661_LibriVox_en,50h_36,hohenzollerns in america with the bolsheviks in berlin and other impossibilities,juvenile books,3157
380,3995_LibriVox_en,50h_36,east by west vol 1,"science, craft & essay",2607
381,8316_LibriVox_en,50h_36,idomen or the vale of yumuri,fiction,4191
382,5706_LibriVox_en,50h_36,manual of egyptian archaeology and guide to the study of antiquities in egypt,misc,3618
383,3472_LibriVox_en,50h_36,figure in the carpet,fiction,4018
